row 1 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 70 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 71 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 72 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 73 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 74 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 75 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 76 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 77 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 78 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 79 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 80 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 81 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 82 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 83 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 84 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 85 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 86 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 87 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 88 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 89 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 90 of 1575: direction = forward, alpha = 0.00162, n = 30, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 91 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 92 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 93 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 94 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 95 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 96 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 97 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 98 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 99 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 100 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 101 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 102 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 103 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 104 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 105 of 1575: direction = forward, alpha = 0.05, n = 30, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 106 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 107 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 108 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 109 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 110 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 111 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 112 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 113 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.32, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 114 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 115 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 116 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 117 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.45, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 118 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 119 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 120 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 121 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.63, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 122 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 123 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 124 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 125 of 1575: direction = forward, alpha = 0.15, n = 60, rho = 0.89, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 126 of 1575: direction = forward, alpha = 0.0135, n = 60, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
